Wavelength,IntensityFactor
840.975,1678.3
840.927,1678.3
840.878,1671.35
840.83,1662.65
840.781,1681.2
840.733,1673
840.684,1660
840.635,1671.5
840.587,1659.65
840.538,1654.5
840.49,1643.45
840.441,1661.75
840.393,1651.3
840.344,1668.9
840.296,1656.35
840.247,1669.8
840.199,1659.45
840.15,1655.65
840.102,1657.65
840.053,1663.55
840.005,1695.1
839.956,1656.35
839.907,1661.9
839.859,1670.7
839.81,1686.45
839.762,1664.15
839.713,1678.75
839.665,1649.65
839.616,1650.9
839.567,1667.9
839.519,1644.4
839.47,1651.2
839.422,1670.55
839.373,1653.65
839.324,1656.65
839.276,1652.35
839.227,1674.6
839.179,1685.25
839.13,1677.8
839.081,1660.6
839.033,1679.75
838.984,1675.95
838.935,1671.65
838.887,1644.35
838.838,1662.1
838.79,1665.8
838.741,1669.1
838.692,1676.05
838.644,1678.35
838.595,1645.15
838.546,1667.35
838.498,1654.15
838.449,1670.35
838.4,1681.65
838.352,1674.2
838.303,1685.05
838.254,1671
838.206,1671.05
838.157,1676.85
838.108,1660.75
838.06,1669.4
838.011,1661.1
837.962,1652.1
837.914,1657.35
837.865,1665.45
837.816,1629
837.767,1647.85
837.719,1668.15
837.67,1669.3
837.621,1656.15
837.573,1664.45
837.524,1697.55
837.475,1667.25
837.426,1655
837.378,1660.95
837.329,1668.1
837.28,1676.3
837.231,1661.75
837.183,1661.75
837.134,1667.7
837.085,1662.8
837.036,1657
836.988,1665.95
836.939,1682.55
836.89,1661.95
836.841,1665.65
836.793,1666.25
836.744,1664.3
836.695,1658.3
836.646,1668.25
836.598,1652.9
836.549,1669.2
836.5,1693.25
836.451,1639
836.402,1649.7
836.354,1649.7
836.305,1668.75
836.256,1659.6
836.207,1670.6
836.158,1671.95
836.11,1660.3
836.061,1662.7
836.012,1687.4
835.963,1659
835.914,1673.5
835.865,1682.5
835.817,1669.3
835.768,1677.65
835.719,1676.1
835.67,1643.4
835.621,1667.15
835.572,1655.4
835.523,1658.15
835.475,1648
835.426,1658.95
835.377,1664.2
835.328,1663.5
835.279,1640.7
835.23,1654.9
835.181,1660.1
835.133,1672.65
835.084,1653.35
835.035,1691.1
834.986,1641.7
834.937,1669.8
834.888,1668.1
834.839,1664.75
834.79,1658.55
834.741,1656.75
834.692,1679.8
834.643,1661.55
834.595,1653.85
834.546,1661.85
834.497,1660.5
834.448,1663.2
834.399,1677.95
834.35,1679.8
834.301,1670.4
834.252,1667.55
834.203,1670.25
834.154,1643.55
834.105,1656.1
834.056,1674.1
834.007,1661.6
833.958,1636.2
833.909,1656.05
833.86,1648
833.811,1659.1
833.762,1674.9
833.713,1664.55
833.665,1652
833.616,1666.5
833.567,1677.55
833.518,1675.4
833.469,1668.45
833.42,1679
833.371,1666.4
833.322,1654.7
833.273,1668.2
833.224,1670.6
833.175,1653.9
833.126,1659.6
833.076,1654.2
833.027,1663.3
832.978,1670.95
832.929,1665.95
832.88,1650.65
832.831,1670.25
832.782,1660.75
832.733,1668.75
832.684,1683.65
832.635,1671.55
832.586,1661.55
832.537,1671.5
832.488,1666.25
832.439,1666.8
832.39,1663.3
832.341,1653.5
832.292,1665.05
832.243,1669.8
832.194,1643.6
832.144,1652.75
832.095,1649.3
832.046,1661.7
831.997,1648.3
831.948,1644.65
831.899,1659.25
831.85,1662.3
831.801,1677.9
831.752,1688.55
831.703,1654.5
831.653,1684.3
831.604,1680.05
831.555,1687.6
831.506,1650.8
831.457,1663.85
831.408,1648.1
831.359,1649.75
831.31,1666.35
831.26,1657.75
831.211,1674.85
831.162,1681
831.113,1663.9
831.064,1667.55
831.015,1667.15
830.966,1674.9
830.916,1680.8
830.867,1660.4
830.818,1676.05
830.769,1677.5
830.72,1677.6
830.671,1665.25
830.621,1660.1
830.572,1651.05
830.523,1654.85
830.474,1649.05
830.425,1637.45
830.375,1645.75
830.326,1662.7
830.277,1649.3
830.228,1659.6
830.179,1667.6
830.129,1677.9
830.08,1671.4
830.031,1678.15
829.982,1681.35
829.932,1673.1
829.883,1658.25
829.834,1684.95
829.785,1667.2
829.735,1655.55
829.686,1667.9
829.637,1658.65
829.588,1646.3
829.538,1661.2
829.489,1629.85
829.44,1665.45
829.391,1661.65
829.341,1663.75
829.292,1684.45
829.243,1665.35
829.194,1662.25
829.144,1671.4
829.095,1682.95
829.046,1675.75
828.996,1662.5
828.947,1634.15
828.898,1664.5
828.849,1669
828.799,1660.85
828.75,1662.75
828.701,1648.35
828.651,1685.4
828.602,1669.45
828.553,1675.7
828.503,1666.1
828.454,1684.15
828.405,1666.9
828.355,1657.1
828.306,1669.15
828.257,1669.5
828.207,1651.1
828.158,1676.65
828.109,1672.25
828.059,1675.65
828.01,1662.25
827.961,1677.5
827.911,1652.65
827.862,1667.55
827.812,1675.15
827.763,1655.25
827.714,1677.8
827.664,1665.75
827.615,1653.55
827.566,1671.1
827.516,1662.5
827.467,1676.35
827.417,1660.65
827.368,1650.65
827.319,1686.35
827.269,1672.15
827.22,1669.75
827.17,1665.95
827.121,1670.05
827.072,1669.05
827.022,1669.65
826.973,1666.15
826.923,1679.6
826.874,1662.6
826.824,1666.9
826.775,1669
826.726,1641.8
826.676,1662.05
826.627,1654.05
826.577,1678.55
826.528,1654.35
826.478,1642.2
826.429,1676.75
826.379,1668.9
826.33,1642
826.28,1654
826.231,1650.75
826.181,1670.15
826.132,1647.45
826.083,1677.5
826.033,1668
825.984,1664.1
825.934,1672.45
825.885,1673.35
825.835,1673.75
825.786,1672.35
825.736,1678
825.687,1672.95
825.637,1680.15
825.588,1666.65
825.538,1663.5
825.488,1644
825.439,1651.8
825.389,1659.55
825.34,1664.55
825.29,1668.5
825.241,1670.4
825.191,1666.1
825.142,1654.9
825.092,1675.85
825.043,1662.95
824.993,1660.05
824.944,1687.4
824.894,1656.85
824.844,1666.85
824.795,1680.85
824.745,1653.75
824.696,1673.6
824.646,1652.25
824.597,1664.35
824.547,1644.85
824.497,1656.8
824.448,1672.65
824.398,1652.6
824.349,1671.3
824.299,1641.6
824.249,1648.05
824.2,1660.15
824.15,1660.4
824.101,1677.65
824.051,1676.9
824.001,1675.75
823.952,1707.6
823.902,1686.9
823.852,1664.8
823.803,1666.65
823.753,1651.8
823.704,1652.65
823.654,1659.15
823.604,1672.7
823.555,1649.45
823.505,1665.85
823.455,1657.35
823.406,1643.05
823.356,1653.15
823.306,1664
823.257,1672.55
823.207,1652.65
823.157,1674.5
823.108,1674.55
823.058,1659.35
823.008,1672.3
822.959,1671.05
822.909,1637.15
822.859,1662.8
822.809,1650.5
822.76,1656.7
822.71,1663.2
822.66,1661.75
822.611,1653.4
822.561,1653.35
822.511,1664.4
822.461,1664.05
822.412,1663.7
822.362,1662.05
822.312,1652.6
822.263,1662.2
822.213,1650.4
822.163,1653
822.113,1675.15
822.064,1674.15
822.014,1670.25
821.964,1663.25
821.914,1646.3
821.865,1651.75
821.815,1670.6
821.765,1667.3
821.715,1673.85
821.666,1656.35
821.616,1656.1
821.566,1649.35
821.516,1663
821.466,1667.8
821.417,1668.1
821.367,1630.65
821.317,1664.3
821.267,1641.4
821.217,1648.4
821.168,1662.45
821.118,1664.4
821.068,1645.9
821.018,1681.65
820.968,1662.1
820.919,1663.7
820.869,1666.75
820.819,1678.05
820.769,1683.05
820.719,1674.7
820.669,1685.75
820.62,1669.2
820.57,1662.25
820.52,1668.45
820.47,1677.95
820.42,1648.2
820.37,1657.6
820.32,1648.6
820.271,1650.7
820.221,1652.85
820.171,1666.55
820.121,1665.55
820.071,1666.5
820.021,1672
819.971,1664.3
819.921,1671.3
819.872,1653.7
819.822,1660.8
819.772,1655.9
819.722,1661.45
819.672,1646.05
819.622,1655.45
819.572,1654.65
819.522,1660.45
819.472,1663.25
819.422,1662.8
819.373,1678.7
819.323,1645.2
819.273,1666.05
819.223,1643.3
819.173,1680.15
819.123,1683.6
819.073,1657.9
819.023,1667.85
818.973,1670.2
818.923,1678.5
818.873,1651.85
818.823,1662.55
818.773,1662.2
818.723,1652.15
818.673,1658.5
818.623,1633.85
818.573,1660.55
818.523,1658.6
818.473,1675.8
818.423,1661.85
818.373,1664.15
818.323,1679.05
818.273,1672.1
818.223,1678.7
818.173,1666.85
818.123,1661.9
818.073,1645.1
818.023,1662.3
817.973,1654.65
817.923,1661.2
817.873,1661.4
817.823,1658.8
817.773,1660.6
817.723,1643
817.673,1644.85
817.623,1655.4
817.573,1678
817.523,1661.85
817.473,1661.3
817.423,1677.25
817.373,1669.5
817.323,1666.75
817.273,1685.35
817.223,1684
817.173,1674
817.123,1663.4
817.073,1665.6
817.023,1648.45
816.972,1651.05
816.922,1650.3
816.872,1660.25
816.822,1650.65
816.772,1651.1
816.722,1662.85
816.672,1657.6
816.622,1659.55
816.572,1674.85
816.522,1689.95
816.472,1665.85
816.421,1654.15
816.371,1667.55
816.321,1655.65
816.271,1616.4
816.221,1652.3
816.171,1641.2
816.121,1638.6
816.071,1645.45
816.02,1648.95
815.97,1667.6
815.92,1647.3
815.87,1654.5
815.82,1661.9
815.77,1668
815.72,1671.65
815.669,1677.45
815.619,1671.25
815.569,1666
815.519,1667.65
815.469,1657.5
815.419,1663.5
815.368,1657.65
815.318,1648
815.268,1654.05
815.218,1661.2
815.168,1648.85
815.117,1657.85
815.067,1646.95
815.017,1643.05
814.967,1650.35
814.917,1656.35
814.866,1666.8
814.816,1661.55
814.766,1649.15
814.716,1674.2
814.665,1672.35
814.615,1688.6
814.565,1649.95
814.515,1678.15
